"Object","Close-Approach (CA) Date","CA DistanceNominal (au)","CA DistanceMinimum (au)","V relative(km/s)","V infinity(km/s)","H(mag)","Diameter","Rarity"
"(2024 SU5)","2024-Oct-06 03:33 ± < 00:01","0.07427","0.07374","23.01","23.01","23.6","51 m -  110 m","0"
"(2024 TZ3)","2024-Oct-06 04:45 ± < 00:01","0.05751","0.05720","9.83","9.83","25.2","24 m -   53 m","0"
"(2022 SU21)","2024-Oct-06 05:04 ± 2_16:19","0.04488","0.00682","21.10","21.10","24.5","33 m -   74 m","0"
"(2024 TD)","2024-Oct-06 05:31 ± < 00:01","0.02480","0.02471","10.92","10.91","26.9","11 m -   25 m","0"
"(2024 RO43)","2024-Oct-06 06:20 ± < 00:01","0.06554","0.06542","7.72","7.72","24.8","30 m -   66 m","0"
"(2024 TL2)","2024-Oct-06 09:12 ± < 00:01","0.00071","0.00071","9.12","8.70","30.8","1.9 m -  4.2 m","0"
"(2018 RY1)","2024-Oct-06 12:11 ± < 00:01","0.05488","0.05488","6.69","6.68","24.6","32 m -   71 m","0"
"(2024 UJ5)","2024-Oct-06 14:25 ± < 00:01","0.06113","0.06103","7.06","7.06","25.6","20 m -   44 m","0"
"(2024 SD6)","2024-Oct-06 16:39 ± < 00:01","0.01236","0.01231","6.78","6.75","27.5","8.3 m -   18 m","0"
"(2022 FC5)","2024-Oct-06 20:22 ± < 00:01","0.04152","0.04151","19.32","19.31","24.8","29 m -   64 m","0"
"(2022 TD)","2024-Oct-06 21:48 ± < 00:01","0.05937","0.05937","8.41","8.41","27.7","7.6 m -   17 m","0"
"(2024 UP1)","2024-Oct-06 22:13 ±    00:03","0.06670","0.06602","10.33","10.32","23.8","46 m -  100 m","0"
"(2024 TY4)","2024-Oct-07 00:19 ±    00:11","0.07091","0.06988","10.55","10.54","25.6","20 m -   44 m","0"
"(2024 TR4)","2024-Oct-07 01:07 ± < 00:01","0.00075","0.00075","15.10","14.86","26.9","11 m -   25 m","2"
"(2024 TR8)","2024-Oct-07 02:46 ± < 00:01","0.08266","0.08239","8.46","8.46","25.1","25 m -   56 m","0"
"671076 (2014 FP47)","2024-Oct-07 03:33 ± < 00:01","0.03281","0.03281","8.64","8.63","22.3","92 m -  210 m","1"
"(2024 SU3)","2024-Oct-07 03:35 ± < 00:01","0.01445","0.01442","9.04","9.02","26.1","16 m -   36 m","0"
"(2024 TQ9)","2024-Oct-07 04:43 ± < 00:01","0.00075","0.00074","7.50","7.01","30.8","1.9 m -  4.2 m","0"
"(2024 TY)","2024-Oct-07 04:54 ± < 00:01","0.00451","0.00450","15.21","15.17","26.1","16 m -   36 m","1"
"(2024 TR)","2024-Oct-07 05:09 ± < 00:01","0.05661","0.05611","19.14","19.14","24.5","34 m -   75 m","0"
"(2024 RS15)","2024-Oct-07 05:46 ± < 00:01","0.06187","0.06183","9.91","9.91","24.1","39 m -   88 m","0"
"(2024 TW16)","2024-Oct-07 06:46 ± < 00:01","0.03326","0.03275","10.28","10.27","26.6","13 m -   29 m","0"
"(2024 SF5)","2024-Oct-07 07:50 ± < 00:01","0.03921","0.03917","4.80","4.79","24.9","28 m -   62 m","0"
"(2024 TX6)","2024-Oct-07 08:17 ± < 00:01","0.00068","0.00068","10.96","10.60","28.4","5.6 m -   13 m","1"
"(2024 TO6)","2024-Oct-07 09:12 ± < 00:01","0.00372","0.00372","17.61","17.56","27.2","9.6 m -   21 m","0"
"(2024 TT13)","2024-Oct-07 10:37 ±    00:05","0.09219","0.08799","13.20","13.20","25.1","25 m -   56 m","0"
"(2024 TW2)","2024-Oct-07 11:14 ± < 00:01","0.00192","0.00192","16.94","16.86","28.7","4.9 m -   11 m","0"
"(2024 TK7)","2024-Oct-07 15:41 ± < 00:01","0.04837","0.04813","8.90","8.90","24.3","37 m -   83 m","0"
"(2024 TU6)","2024-Oct-07 16:29 ± < 00:01","0.05619","0.05583","11.13","11.13","24.9","28 m -   62 m","0"
"(2024 RT43)","2024-Oct-07 19:02 ± < 00:01","0.06073","0.06063","9.70","9.70","24.7","31 m -   69 m","0"
"(2024 TT3)","2024-Oct-07 19:09 ±    00:02","0.04296","0.04265","6.86","6.85","27.4","9.0 m -   20 m","0"
"(2024 TN13)","2024-Oct-08 00:35 ±    00:03","0.01624","0.01600","15.48","15.47","26.3","15 m -   33 m","0"
"(2024 UH13)","2024-Oct-08 02:00 ±    00:25","0.04887","0.04779","4.58","4.57","26.2","15 m -   34 m","0"
"(2006 GB1)","2024-Oct-08 03:41 ± < 00:01","0.04995","0.04995","7.44","7.43","24.1","40 m -   90 m","0"
"(2018 TO3)","2024-Oct-08 04:50 ± 2_00:36","0.09867","0.04983","12.85","12.84","26.9","11 m -   25 m","0"
"(2024 TV8)","2024-Oct-08 05:20 ± < 00:01","0.00370","0.00369","12.74","12.68","26.3","14 m -   32 m","1"
"(2024 SN8)","2024-Oct-08 06:31 ± < 00:01","0.00829","0.00828","14.03","14.00","25.9","17 m -   39 m","0"
"(2024 SV4)","2024-Oct-08 08:26 ± < 00:01","0.08278","0.08259","6.25","6.24","25.6","21 m -   46 m","0"
"(2024 TR9)","2024-Oct-08 09:56 ±    00:05","0.03702","0.03666","7.17","7.16","26.6","13 m -   28 m","0"
"(2024 UK3)","2024-Oct-08 10:56 ±    00:15","0.09310","0.09058","18.55","18.55","23.7","48 m -  110 m","0"
"(2024 TY1)","2024-Oct-08 11:31 ± < 00:01","0.06391","0.06358","9.19","9.19","23.8","45 m -  100 m","0"
"(2016 JG38)","2024-Oct-08 15:12 ± < 00:01","0.03384","0.03384","11.97","11.97","24.0","42 m -   93 m","0"
"(2024 TP11)","2024-Oct-08 15:13 ± < 00:01","0.01603","0.01599","16.14","16.13","25.3","23 m -   52 m","0"
"(2024 TP8)","2024-Oct-08 16:46 ± < 00:01","0.03427","0.03417","5.72","5.71","26.8","12 m -   26 m","0"
"(2024 TB17)","2024-Oct-08 17:54 ±    00:07","0.04793","0.04718","7.86","7.85","26.7","12 m -   28 m","0"
"(2024 TY13)","2024-Oct-08 20:32 ± < 00:01","0.00295","0.00294","18.99","18.95","28.6","5.0 m -   11 m","0"
"(2018 TR3)","2024-Oct-08 21:02 ± 1_06:10","0.09927","0.08185","5.88","5.88","27.8","7.3 m -   16 m","0"
"(2024 TK5)","2024-Oct-09 00:01 ± < 00:01","0.00152","0.00151","9.11","8.91","27.7","7.7 m -   17 m","0"
"(2024 TN5)","2024-Oct-09 03:41 ±    00:04","0.01297","0.01294","7.24","7.21","28.0","6.8 m -   15 m","0"
"(2024 UR2)","2024-Oct-09 09:26 ±    00:02","0.09416","0.09385","5.51","5.50","25.4","22 m -   49 m","0"
"(2024 TK3)","2024-Oct-09 11:40 ± < 00:01","0.02532","0.02509","11.72","11.71","26.5","14 m -   30 m","0"
"(2024 TD3)","2024-Oct-09 14:28 ± < 00:01","0.02494","0.02487","9.33","9.32","25.1","25 m -   55 m","0"
"(2024 TZ11)","2024-Oct-09 15:23 ± < 00:01","0.04751","0.04726","22.83","22.83","23.5","52 m -  120 m","0"
"(2024 TZ7)","2024-Oct-09 19:41 ±    00:02","0.01205","0.01199","6.70","6.66","28.3","5.9 m -   13 m","0"
"(2024 TJ2)","2024-Oct-09 22:07 ± < 00:01","0.01284","0.01278","11.21","11.19","27.0","10 m -   23 m","0"
"(2024 TK2)","2024-Oct-09 23:20 ± < 00:01","0.00727","0.00725","14.62","14.60","25.3","24 m -   53 m","1"
"(2024 TH11)","2024-Oct-10 09:16 ±    00:02","0.00020","0.00020","13.70","12.69","27.3","9.3 m -   21 m","2"
"(2018 TC2)","2024-Oct-10 11:14 ±    04:27","0.09673","0.05574","7.71","7.71","26.0","17 m -   38 m","0"
"(2024 SM)","2024-Oct-10 12:22 ± < 00:01","0.01890","0.01887","6.68","6.66","25.5","21 m -   48 m","0"
"(2003 TR9)","2024-Oct-10 13:02 ± < 00:01","0.08526","0.08526","26.22","26.22","21.3","140 m -  320 m","0"
"(2024 TD16)","2024-Oct-10 16:35 ± < 00:01","0.00647","0.00646","11.95","11.92","26.6","13 m -   28 m","0"
"(2024 TE2)","2024-Oct-10 19:46 ± < 00:01","0.06386","0.06354","9.36","9.36","25.4","22 m -   49 m","0"
"(2024 TN2)","2024-Oct-10 20:37 ± < 00:01","0.02693","0.02676","22.15","22.15","25.3","23 m -   52 m","0"
"(2024 TW1)","2024-Oct-10 21:47 ± < 00:01","0.03141","0.03128","10.15","10.15","25.8","19 m -   41 m","0"
"(2024 TK13)","2024-Oct-10 22:00 ± < 00:01","0.00114","0.00114","8.36","8.08","28.7","4.9 m -   11 m","0"
"(2024 TR2)","2024-Oct-11 06:45 ± < 00:01","0.03436","0.03427","11.23","11.22","25.5","21 m -   48 m","0"
"(2024 TW8)","2024-Oct-11 10:33 ± < 00:01","0.00680","0.00678","13.34","13.31","27.0","10 m -   23 m","0"
"(2024 TA3)","2024-Oct-11 10:51 ±    00:02","0.03203","0.03184","7.33","7.32","26.7","12 m -   27 m","0"
"(2024 UO)","2024-Oct-11 13:20 ± < 00:01","0.04933","0.04927","9.30","9.30","25.8","19 m -   42 m","0"
"(2024 TU1)","2024-Oct-11 17:20 ± < 00:01","0.01542","0.01538","8.40","8.38","26.1","16 m -   36 m","0"
"(2024 TH1)","2024-Oct-11 19:14 ±    00:02","0.07029","0.06966","17.74","17.74","24.6","32 m -   70 m","0"
"(2024 UA3)","2024-Oct-11 22:50 ±    00:02","0.04641","0.04618","7.66","7.65","25.6","21 m -   46 m","0"
"(2024 TG5)","2024-Oct-11 22:58 ± < 00:01","0.00378","0.00377","7.84","7.75","27.6","8.0 m -   18 m","0"
"(2024 SO6)","2024-Oct-11 23:37 ± < 00:01","0.07516","0.07480","9.13","9.12","24.9","28 m -   63 m","0"
"363027 (1998 ST27)","2024-Oct-12 01:52 ± < 00:01","0.02380","0.02380","16.63","16.62","19.6","0.578±0.228 km","2"
"(2024 TU2)","2024-Oct-12 03:14 ± < 00:01","0.04144","0.04128","5.07","5.05","26.7","12 m -   27 m","0"
"(2024 TB7)","2024-Oct-12 03:50 ±    00:10","0.00331","0.00330","8.02","7.92","29.2","3.8 m -  8.5 m","0"
"(2024 TK11)","2024-Oct-12 04:37 ± < 00:01","0.00409","0.00408","13.15","13.10","28.3","5.7 m -   13 m","0"
"(2020 GE1)","2024-Oct-12 06:05 ±    01:56","0.05137","0.05110","4.29","4.28","27.1","10 m -   23 m","0"
"(2018 QE)","2024-Oct-12 06:57 ± < 00:01","0.01119","0.01119","4.55","4.50","28.0","6.8 m -   15 m","0"
"(2024 TC2)","2024-Oct-12 08:19 ± < 00:01","0.01646","0.01638","7.83","7.81","26.5","13 m -   29 m","0"
"(2022 UX1)","2024-Oct-12 08:45 ±    00:53","0.05092","0.04986","9.89","9.88","28.0","6.7 m -   15 m","0"
"(2024 UN5)","2024-Oct-12 09:02 ±    00:01","0.06354","0.06342","10.44","10.43","24.5","34 m -   76 m","0"
"(2024 TN20)","2024-Oct-12 09:28 ± < 00:01","0.00509","0.00507","9.48","9.42","27.1","10 m -   23 m","0"
"(2008 UU95)","2024-Oct-12 11:25 ± < 00:01","0.03452","0.03452","15.61","15.60","23.7","49 m -  110 m","0"
"(2024 TK21)","2024-Oct-12 12:10 ±    00:05","0.00275","0.00274","9.38","9.28","25.1","25 m -   56 m","2"
"(2023 HO36)","2024-Oct-12 13:27 ±    18:56","0.08932","0.08346","5.85","5.85","30.6","2.1 m -  4.6 m","0"
"(2024 TW11)","2024-Oct-12 15:15 ± < 00:01","0.01334","0.01330","18.76","18.75","26.4","14 m -   31 m","0"
"(2024 UD)","2024-Oct-12 16:51 ±    00:03","0.00863","0.00860","18.13","18.12","24.6","31 m -   70 m","1"
"(2024 UA18)","2024-Oct-12 18:51 ±    12:20","0.02232","0.02056","11.73","11.72","27.0","10 m -   23 m","0"
"(2024 TO5)","2024-Oct-12 21:07 ± < 00:01","0.04480","0.04453","11.68","11.67","26.2","15 m -   34 m","0"
"(2024 TM2)","2024-Oct-12 22:23 ± < 00:01","0.00913","0.00912","5.73","5.68","28.2","6.1 m -   14 m","0"
"(2024 TX5)","2024-Oct-13 00:32 ± < 00:01","0.03042","0.03022","6.47","6.45","26.4","14 m -   31 m","0"
"(2024 TU20)","2024-Oct-13 05:49 ± < 00:01","0.09340","0.09325","6.88","6.87","24.7","31 m -   68 m","0"
"(2024 UW1)","2024-Oct-13 06:35 ±    00:19","0.02699","0.02555","8.25","8.23","26.5","13 m -   29 m","0"
"(2024 UC1)","2024-Oct-13 07:13 ±    00:01","0.03453","0.03439","11.80","11.79","24.7","31 m -   69 m","0"
"(2011 UW255)","2024-Oct-13 11:49 ± < 00:01","0.09843","0.09843","13.01","13.00","23.9","45 m -  100 m","0"
"(2024 TZ1)","2024-Oct-13 13:33 ± < 00:01","0.09165","0.09019","18.96","18.96","23.6","51 m -  110 m","0"
"(2024 TM7)","2024-Oct-13 14:43 ±    00:02","0.05368","0.05301","8.42","8.41","25.2","25 m -   55 m","0"
"(2024 TC)","2024-Oct-13 19:47 ± < 00:01","0.05869","0.05862","6.90","6.90","25.2","25 m -   55 m","0"
"(2024 TA7)","2024-Oct-13 20:45 ± < 00:01","0.00353","0.00352","8.60","8.51","27.2","9.6 m -   21 m","0"
"(2024 SM4)","2024-Oct-13 22:22 ± < 00:01","0.04836","0.04825","13.78","13.78","24.0","41 m -   92 m","0"
"(2024 UU5)","2024-Oct-13 23:40 ±    01:05","0.05568","0.05254","12.32","12.31","25.3","23 m -   52 m","0"
"(2024 UR4)","2024-Oct-14 01:03 ±    00:11","0.04528","0.04307","10.53","10.53","26.6","13 m -   28 m","0"
"(2024 QG3)","2024-Oct-14 02:21 ± < 00:01","0.06368","0.06365","12.06","12.06","23.2","62 m -  140 m","0"
"(2024 UH2)","2024-Oct-14 04:42 ±    00:02","0.03839","0.03799","5.42","5.41","26.9","11 m -   25 m","0"
"(2021 TK11)","2024-Oct-14 05:28 ± 2_12:07","0.02040","0.00505","10.58","10.57","28.6","5.2 m -   12 m","0"
"(2024 TH3)","2024-Oct-14 06:01 ± < 00:01","0.03080","0.03047","7.03","7.02","26.6","13 m -   29 m","0"
"(2024 TA12)","2024-Oct-14 07:19 ± < 00:01","0.00206","0.00206","6.01","5.79","29.5","3.4 m -  7.6 m","0"
"(2024 UB)","2024-Oct-14 10:08 ± < 00:01","0.00358","0.00357","19.09","19.05","23.8","46 m -  100 m","2"
"(2024 TM20)","2024-Oct-15 03:42 ± < 00:01","0.00081","0.00081","18.19","18.01","27.1","10 m -   23 m","1"
"(2024 UQ5)","2024-Oct-15 04:02 ± < 00:01","0.00742","0.00742","6.15","6.09","23.6","51 m -  110 m","2"
"(2024 TQ1)","2024-Oct-15 04:57 ±    00:30","0.05836","0.05758","5.39","5.38","26.3","15 m -   33 m","0"
"(2024 TO4)","2024-Oct-15 06:55 ± < 00:01","0.01166","0.01163","6.07","6.03","27.1","10 m -   23 m","0"
"(2024 TC22)","2024-Oct-15 07:08 ± < 00:01","0.05581","0.05414","26.86","26.86","24.7","31 m -   70 m","0"
"(2024 TX11)","2024-Oct-15 08:17 ± < 00:01","0.01876","0.01869","6.02","5.99","26.7","12 m -   27 m","0"
"(2024 TK22)","2024-Oct-15 09:02 ± < 00:01","0.00095","0.00095","10.69","10.42","29.9","2.7 m -  6.1 m","0"
"(2024 UN8)","2024-Oct-15 16:58 ± < 00:01","0.03882","0.03851","4.03","4.01","27.2","9.5 m -   21 m","0"
"(2024 TO9)","2024-Oct-15 17:28 ± < 00:01","0.02216","0.02192","8.32","8.31","26.7","12 m -   28 m","0"
"(2022 TB41)","2024-Oct-15 17:43 ± 3_20:02","0.02550","0.01957","6.04","6.02","29.8","3.0 m -  6.6 m","0"
"(2024 UL2)","2024-Oct-15 18:26 ±    00:01","0.03233","0.03211","5.57","5.55","26.5","14 m -   30 m","0"
"(2024 UP)","2024-Oct-15 18:48 ± < 00:01","0.07823","0.07797","23.53","23.53","23.1","65 m -  150 m","0"
"(2024 UL1)","2024-Oct-15 21:09 ±    00:03","0.01028","0.01021","10.79","10.76","27.0","11 m -   24 m","0"
"(2024 UA)","2024-Oct-15 21:12 ± < 00:01","0.01047","0.01044","5.18","5.14","26.8","11 m -   26 m","0"
"(2024 US4)","2024-Oct-15 22:51 ± < 00:01","0.04228","0.04220","8.20","8.19","23.7","49 m -  110 m","0"
"(2024 UM)","2024-Oct-15 23:57 ± < 00:01","0.02770","0.02763","8.70","8.69","25.1","25 m -   56 m","0"
"(2024 US1)","2024-Oct-16 01:54 ±    00:05","0.03148","0.03070","21.74","21.74","25.1","25 m -   55 m","0"
"(2022 UY)","2024-Oct-16 10:12 ± < 00:01","0.08139","0.08139","8.38","8.38","25.5","21 m -   47 m","0"
"(2024 UV)","2024-Oct-16 17:28 ± < 00:01","0.02030","0.02017","12.93","12.92","25.0","27 m -   60 m","0"
"(2024 UD2)","2024-Oct-16 19:43 ±    00:03","0.02802","0.02752","12.19","12.18","26.2","15 m -   35 m","0"
"(2024 SD2)","2024-Oct-17 00:34 ± < 00:01","0.02586","0.02580","6.10","6.08","25.7","19 m -   43 m","0"
"(2020 CU1)","2024-Oct-17 05:05 ± < 00:01","0.09525","0.09525","8.20","8.20","24.2","39 m -   86 m","0"
"(2019 UH14)","2024-Oct-17 15:49 ± < 00:01","0.02035","0.02035","10.33","10.32","23.6","51 m -  110 m","1"
"(2024 ST2)","2024-Oct-17 17:23 ± < 00:01","0.08996","0.08993","4.72","4.71","25.1","25 m -   55 m","0"
"(2024 TC15)","2024-Oct-17 20:49 ± < 00:01","0.01227","0.01222","9.22","9.20","26.9","11 m -   25 m","0"
"(2024 TO1)","2024-Oct-17 21:39 ± < 00:01","0.05661","0.05624","6.57","6.56","25.5","21 m -   47 m","0"
"(2024 UD5)","2024-Oct-18 00:35 ±    00:07","0.01058","0.01049","7.20","7.17","27.5","8.5 m -   19 m","0"
"(2024 TB22)","2024-Oct-18 01:51 ± < 00:01","0.07639","0.07639","22.00","21.99","19.2","390 m -  860 m","1"
"(2024 TX2)","2024-Oct-18 03:16 ± < 00:01","0.07625","0.07615","13.53","13.53","23.9","45 m -  100 m","0"
"(2024 UE9)","2024-Oct-18 03:59 ±    00:04","0.05747","0.05631","12.14","12.14","24.3","36 m -   81 m","0"
"(2024 UB1)","2024-Oct-18 05:11 ±    00:03","0.00249","0.00248","8.00","7.87","28.5","5.4 m -   12 m","0"
"(2024 TT9)","2024-Oct-18 07:04 ± < 00:01","0.06498","0.06461","14.68","14.68","24.7","31 m -   70 m","0"
"(2024 UV2)","2024-Oct-18 10:43 ± < 00:01","0.02915","0.02886","8.65","8.64","26.3","14 m -   32 m","0"
"(2024 UQ11)","2024-Oct-18 11:06 ±    00:14","0.04912","0.04795","9.59","9.58","25.9","18 m -   40 m","0"
"(2024 RV50)","2024-Oct-18 17:02 ± < 00:01","0.04958","0.04958","15.57","15.57","21.0","170 m -  380 m","1"
"(2024 TX8)","2024-Oct-18 18:00 ± < 00:01","0.09438","0.09363","12.51","12.51","24.3","36 m -   81 m","0"
"(2024 UC6)","2024-Oct-18 20:10 ± < 00:01","0.04939","0.04889","10.46","10.46","25.2","24 m -   54 m","0"
"(2022 UO10)","2024-Oct-18 21:56 ±    08:37","0.05225","0.03654","10.30","10.30","26.8","12 m -   26 m","0"
"(2024 UU)","2024-Oct-19 01:16 ± < 00:01","0.00516","0.00515","11.35","11.30","25.5","21 m -   47 m","1"
"(2024 SA5)","2024-Oct-19 05:01 ±    00:03","0.08909","0.08818","8.25","8.24","24.4","36 m -   80 m","0"
"(2024 UQ6)","2024-Oct-19 06:11 ±    00:12","0.06723","0.06634","5.17","5.16","26.9","11 m -   25 m","0"
"(2024 UP3)","2024-Oct-19 06:38 ±    00:10","0.02420","0.02390","21.54","21.53","25.7","19 m -   43 m","0"
"(2016 JR38)","2024-Oct-19 08:27 ± < 00:01","0.09547","0.09547","2.52","2.51","24.2","39 m -   88 m","0"
"(2024 UR7)","2024-Oct-19 10:56 ±    02:02","0.00329","0.00317","7.88","7.78","30.0","2.7 m -  6.0 m","0"
"(2024 UK)","2024-Oct-19 12:10 ± < 00:01","0.00518","0.00518","9.54","9.48","24.5","33 m -   74 m","1"
"(2024 UF)","2024-Oct-19 13:33 ± < 00:01","0.00220","0.00219","21.34","21.28","26.3","15 m -   33 m","1"
"(2024 SA3)","2024-Oct-19 14:03 ± < 00:01","0.09768","0.09768","13.71","13.71","22.2","95 m -  210 m","0"
"(2024 UA1)","2024-Oct-19 15:03 ± < 00:01","0.04178","0.04170","12.23","12.22","24.0","42 m -   94 m","0"
"(2024 TY21)","2024-Oct-19 15:35 ± < 00:01","0.00903","0.00895","15.52","15.50","27.3","9.4 m -   21 m","0"
"(2024 UC)","2024-Oct-19 16:54 ± < 00:01","0.06149","0.06105","7.79","7.79","24.3","37 m -   82 m","0"
"(2024 UL3)","2024-Oct-19 17:18 ± < 00:01","0.06014","0.05979","13.14","13.14","25.0","27 m -   61 m","0"
"(2024 UN3)","2024-Oct-19 19:00 ± < 00:01","0.03330","0.03287","11.01","11.00","26.6","13 m -   29 m","0"
"(2024 UH)","2024-Oct-19 21:33 ± < 00:01","0.05889","0.05871","10.36","10.36","24.4","36 m -   80 m","0"
"(2024 UW2)","2024-Oct-19 22:51 ±    00:07","0.06245","0.06195","11.74","11.73","24.9","27 m -   61 m","0"
"(2024 UT1)","2024-Oct-20 05:42 ±    00:20","0.01449","0.01425","9.54","9.52","27.8","7.4 m -   17 m","0"
"(2024 SC8)","2024-Oct-20 05:46 ± < 00:01","0.06299","0.06295","3.70","3.69","25.9","18 m -   40 m","0"
"(2024 UM1)","2024-Oct-20 05:56 ±    00:02","0.01724","0.01709","9.75","9.73","27.8","7.2 m -   16 m","0"
"(2021 UJ3)","2024-Oct-20 11:07 ± < 00:01","0.02144","0.02144","13.37","13.36","27.0","11 m -   24 m","0"
"(2024 UN)","2024-Oct-20 14:58 ± < 00:01","0.00629","0.00628","14.10","14.07","26.6","13 m -   28 m","0"
"(2024 VL)","2024-Oct-20 15:37 ±    00:49","0.02602","0.02580","7.27","7.25","26.2","15 m -   34 m","0"
"(2024 SH1)","2024-Oct-20 18:15 ±    00:01","0.01640","0.01636","2.67","2.61","26.8","11 m -   25 m","0"
"(2024 UE)","2024-Oct-20 22:53 ± < 00:01","0.00627","0.00625","21.98","21.96","26.5","14 m -   30 m","0"
"(2024 UK4)","2024-Oct-21 00:29 ±    00:03","0.00293","0.00290","12.89","12.82","28.4","5.6 m -   13 m","0"
"(2021 SF4)","2024-Oct-21 01:08 ± < 00:01","0.08100","0.08100","7.62","7.61","24.5","33 m -   74 m","0"
"(2024 UG)","2024-Oct-21 02:02 ± < 00:01","0.00700","0.00699","9.23","9.19","26.9","11 m -   25 m","0"
"(2024 US2)","2024-Oct-21 04:21 ± < 00:01","0.02880","0.02861","10.11","10.10","25.2","24 m -   53 m","0"
"(2024 TP3)","2024-Oct-21 06:02 ±    00:05","0.08836","0.08638","10.39","10.38","25.0","27 m -   60 m","0"
"(2024 UG2)","2024-Oct-21 07:16 ±    00:04","0.05891","0.05793","12.57","12.56","26.1","16 m -   35 m","0"
"(2024 UO3)","2024-Oct-21 17:27 ±    00:06","0.05458","0.05365","11.35","11.35","26.3","14 m -   32 m","0"
"(2024 VT2)","2024-Oct-21 17:51 ±    00:02","0.04436","0.04418","3.78","3.76","26.3","14 m -   32 m","0"
"(2019 UY7)","2024-Oct-21 19:27 ±    11:47","0.09184","0.08237","13.12","13.12","27.4","8.8 m -   20 m","0"
"(2024 UD1)","2024-Oct-21 21:20 ± < 00:01","0.00280","0.00279","7.89","7.76","29.4","3.5 m -  7.9 m","0"
"(2024 US)","2024-Oct-22 01:07 ± < 00:01","0.00242","0.00242","7.82","7.68","28.0","6.8 m -   15 m","0"
"(2024 UR)","2024-Oct-22 03:18 ± < 00:01","0.01410","0.01407","16.32","16.30","24.3","36 m -   81 m","1"
"(2024 UL)","2024-Oct-22 07:10 ± < 00:01","0.08523","0.08508","12.51","12.51","23.3","59 m -  130 m","0"
"(2021 XE6)","2024-Oct-22 07:17 ± 6_16:10","0.09530","0.07751","9.68","9.67","24.2","38 m -   85 m","0"
"(2024 UV3)","2024-Oct-22 07:28 ±    00:03","0.05996","0.05918","13.10","13.09","25.7","19 m -   43 m","0"
"(2024 UH1)","2024-Oct-22 13:13 ±    00:04","0.01694","0.01688","6.31","6.28","28.5","5.3 m -   12 m","0"
"450649 (2006 UY64)","2024-Oct-22 15:11 ± < 00:01","0.05667","0.05667","13.47","13.47","19.4","350 m -  780 m","1"
"(2024 SE4)","2024-Oct-22 17:16 ± < 00:01","0.01771","0.01771","2.22","2.15","27.7","7.7 m -   17 m","0"
"(2024 UK2)","2024-Oct-23 03:07 ±    00:02","0.01947","0.01940","8.34","8.32","27.8","7.2 m -   16 m","0"
"(2024 UR5)","2024-Oct-23 03:08 ± < 00:01","0.01436","0.01429","19.01","19.00","25.1","25 m -   56 m","0"
"(2017 RL2)","2024-Oct-23 03:28 ± 3_12:35","0.09980","0.09673","1.38","1.36","26.1","16 m -   35 m","0"
"(2024 UH4)","2024-Oct-23 13:55 ± < 00:01","0.01389","0.01381","16.73","16.72","26.9","11 m -   24 m","0"
"(2024 UT3)","2024-Oct-23 14:10 ± < 00:01","0.04718","0.04717","8.81","8.80","23.6","51 m -  110 m","0"
"(2024 UT)","2024-Oct-23 17:23 ± < 00:01","0.00031","0.00031","11.61","10.84","30.3","2.3 m -  5.2 m","0"
"(2024 UF11)","2024-Oct-23 21:07 ±    00:29","0.04539","0.04440","5.87","5.86","26.8","12 m -   26 m","0"
"(2024 UJ1)","2024-Oct-24 01:29 ±    00:02","0.02312","0.02297","12.23","12.22","26.8","12 m -   27 m","0"
"(2015 HM1)","2024-Oct-24 04:36 ± 4_20:05","0.03694","0.01219","10.88","10.87","25.2","24 m -   54 m","0"
"(2024 UH3)","2024-Oct-24 05:34 ±    00:06","0.07254","0.07184","7.97","7.96","25.6","20 m -   44 m","0"
"(2024 TP17)","2024-Oct-24 08:21 ± < 00:01","0.03097","0.03083","5.78","5.77","24.2","38 m -   86 m","0"
"(2024 TT8)","2024-Oct-24 08:38 ± < 00:01","0.07347","0.07341","4.17","4.16","25.6","21 m -   46 m","0"
"(2024 UR6)","2024-Oct-24 12:12 ±    00:02","0.02305","0.02290","7.74","7.72","27.7","7.8 m -   17 m","0"
"(2024 UQ3)","2024-Oct-24 13:32 ±    00:01","0.00601","0.00599","6.83","6.76","29.5","3.4 m -  7.6 m","0"
"363305 (2002 NV16)","2024-Oct-24 15:47 ± < 00:01","0.03021","0.03021","4.87","4.85","21.4","140 m -  310 m","1"
"(2024 TR6)","2024-Oct-24 15:51 ± < 00:01","0.03785","0.03777","15.20","15.20","24.5","33 m -   75 m","0"
"(2024 UY1)","2024-Oct-24 16:18 ±    00:09","0.09463","0.09268","15.32","15.31","25.4","23 m -   51 m","0"
"(2024 UB5)","2024-Oct-24 20:13 ± < 00:01","0.00744","0.00742","10.99","10.96","28.3","5.8 m -   13 m","0"
"(2024 UY)","2024-Oct-24 21:35 ± < 00:01","0.00197","0.00197","10.63","10.50","29.2","3.8 m -  8.6 m","0"
"(2023 TG14)","2024-Oct-24 23:22 ± < 00:01","0.01702","0.01702","6.90","6.88","25.8","18 m -   41 m","0"
"(2021 UE2)","2024-Oct-24 23:46 ± < 00:01","0.03536","0.03536","7.14","7.13","24.5","33 m -   75 m","0"
"(2024 UP11)","2024-Oct-24 23:52 ± < 00:01","0.02270","0.02257","8.12","8.11","25.8","18 m -   40 m","0"
"(2022 UP20)","2024-Oct-24 23:57 ± < 00:01","0.05898","0.05898","9.60","9.59","25.4","22 m -   50 m","0"
